Date	Day	result
2022/2/7	Monday	[7, 10, 33, 43, 44, 47, 42]
2022/2/6	Sunday	[2, 3, 6, 21, 28, 49, 41]
2022/2/5	Saturday	[1, 17, 18, 22, 23, 39, 20]
2022/2/4	Friday	[4, 12, 13, 16, 17, 28, 44]
2022/2/3	Thursday	[8, 16, 23, 31, 36, 38, 41]
2022/2/2	Wednesday	[3, 5, 20, 24, 30, 45, 37]
2022/2/1	Tuesday	[17, 24, 37, 40, 45, 47, 9]
2022/1/31	Monday	[3, 15, 20, 38, 42, 49, 4]
2022/1/30	Sunday	[10, 15, 22, 24, 29, 39, 23]
2022/1/29	Saturday	[14, 30, 34, 37, 40, 41, 8]
2022/1/28	Friday	[3, 12, 28, 36, 39, 42, 5]
2022/1/27	Thursday	[7, 9, 11, 31, 33, 35, 19]
2022/1/26	Wednesday	[9, 15, 19, 29, 37, 47, 39]
2022/1/25	Tuesday	[5, 19, 22, 23, 24, 39, 18]
2022/1/24	Monday	[7, 11, 13, 27, 46, 49, 33]
2022/1/23	Sunday	[15, 22, 31, 36, 44, 45, 20]
2022/1/22	Saturday	[5, 10, 21, 26, 37, 41, 40]
2022/1/21	Friday	[4, 14, 19, 22, 30, 35, 29]
2022/1/20	Thursday	[6, 10, 15, 30, 33, 47, 13]
2022/1/19	Wednesday	[5, 25, 38, 41, 43, 45, 40]
2022/1/18	Tuesday	[15, 23, 29, 36, 37, 46, 27]
2022/1/17	Monday	[15, 19, 26, 36, 45, 48, 29]
2022/1/16	Sunday	[4, 6, 8, 25, 37, 43, 31]
2022/1/15	Saturday	[4, 5, 19, 29, 37, 44, 12]
2022/1/14	Friday	[10, 14, 22, 36, 37, 48, 47]
2022/1/13	Thursday	[2, 29, 32, 38, 41, 44, 14]
2022/1/12	Wednesday	[15, 23, 32, 38, 41, 46, 17]
2022/1/11	Tuesday	[26, 30, 33, 42, 43, 48, 8]
2022/1/10	Monday	[23, 25, 35, 41, 45, 49, 5]
2022/1/9	Sunday	[3, 10, 20, 32, 33, 43, 44]
2022/1/8	Saturday	[6, 14, 29, 37, 44, 48, 22]
2022/1/7	Friday	[12, 23, 31, 37, 44, 49, 24]
2022/1/6	Thursday	[1, 6, 8, 14, 41, 42, 29]
2022/1/5	Wednesday	[2, 8, 11, 21, 33, 41, 24]
2022/1/4	Tuesday	[7, 12, 23, 25, 27, 30, 45]
2022/1/3	Monday	[12, 16, 19, 30, 44, 45, 14]
2022/1/2	Sunday	[24, 31, 37, 42, 47, 49, 41]
2022/1/1	Saturday	[5, 8, 25, 31, 42, 44, 26]
