Date	Day	result
2017/12/31	Sunday	[2, 19, 24, 25, 34, 46, 47]
2017/12/30	Saturday	[6, 7, 16, 17, 25, 47, 19]
2017/12/29	Friday	[19, 30, 31, 33, 44, 49, 17]
2017/12/28	Thursday	[28, 31, 38, 47, 48, 49, 17]
2017/12/27	Wednesday	[5, 6, 7, 19, 42, 44, 18]
2017/12/26	Tuesday	[1, 3, 9, 22, 30, 43, 29]
2017/12/24	Sunday	[2, 14, 29, 36, 37, 49, 13]
2017/12/23	Saturday	[9, 19, 31, 33, 36, 46, 11]
2017/12/22	Friday	[11, 17, 27, 28, 32, 33, 21]
2017/12/21	Thursday	[8, 12, 17, 30, 37, 49, 44]
2017/12/20	Wednesday	[10, 11, 14, 25, 26, 27, 9]
2017/12/19	Tuesday	[3, 10, 12, 13, 23, 30, 41]
2017/12/18	Monday	[3, 7, 21, 24, 34, 40, 31]
2017/12/17	Sunday	[2, 6, 28, 33, 45, 48, 3]
2017/12/16	Saturday	[8, 27, 32, 40, 46, 48, 13]
2017/12/15	Friday	[18, 23, 33, 37, 44, 47, 27]
2017/12/14	Thursday	[3, 6, 12, 24, 38, 49, 27]
2017/12/13	Wednesday	[4, 5, 14, 19, 33, 47, 15]
2017/12/12	Tuesday	[3, 15, 30, 31, 37, 40, 39]
2017/12/11	Monday	[3, 16, 20, 21, 38, 39, 19]
2017/12/10	Sunday	[12, 14, 26, 27, 31, 49, 11]
2017/12/9	Saturday	[3, 4, 6, 16, 30, 40, 46]
2017/12/8	Friday	[5, 22, 31, 33, 36, 47, 30]
2017/12/7	Thursday	[5, 19, 24, 25, 40, 49, 36]
2017/12/6	Wednesday	[11, 15, 26, 40, 41, 49, 31]
2017/12/5	Tuesday	[2, 10, 13, 17, 25, 31, 26]
2017/12/4	Monday	[2, 5, 20, 22, 47, 49, 33]
2017/12/3	Sunday	[7, 21, 25, 32, 33, 49, 27]
2017/12/2	Saturday	[4, 13, 23, 24, 29, 40, 19]
2017/12/1	Friday	[4, 18, 19, 29, 45, 47, 25]
2017/11/30	Thursday	[3, 8, 20, 30, 31, 49, 13]
2017/11/29	Wednesday	[4, 20, 28, 40, 44, 46, 30]
2017/11/28	Tuesday	[6, 9, 23, 28, 39, 40, 20]
2017/11/27	Monday	[15, 18, 22, 26, 33, 48, 25]
2017/11/26	Sunday	[3, 8, 16, 18, 44, 48, 27]
2017/11/25	Saturday	[7, 13, 14, 15, 24, 46, 35]
2017/11/24	Friday	[6, 10, 17, 21, 26, 31, 11]
2017/11/23	Thursday	[10, 16, 26, 27, 38, 40, 30]
2017/11/22	Wednesday	[3, 5, 7, 17, 18, 27, 24]
2017/11/21	Tuesday	[19, 23, 30, 33, 37, 43, 20]
2017/11/20	Monday	[5, 17, 26, 30, 33, 49, 39]
2017/11/19	Sunday	[3, 22, 37, 43, 44, 49, 5]
2017/11/18	Saturday	[8, 10, 16, 17, 29, 38, 34]
2017/11/17	Friday	[6, 11, 16, 27, 34, 38, 33]
2017/11/16	Thursday	[5, 12, 30, 39, 48, 49, 35]
2017/11/15	Wednesday	[19, 28, 35, 41, 46, 48, 10]
2017/11/14	Tuesday	[6, 9, 11, 33, 38, 49, 34]
2017/11/13	Monday	[2, 21, 22, 27, 39, 44, 48]
2017/11/12	Sunday	[3, 16, 26, 27, 37, 39, 10]
2017/11/11	Saturday	[3, 4, 8, 19, 27, 29, 24]
2017/11/10	Friday	[21, 25, 26, 36, 41, 47, 11]
2017/11/9	Thursday	[20, 23, 24, 41, 45, 47, 37]
2017/11/8	Wednesday	[9, 17, 26, 34, 41, 45, 43]
2017/11/7	Tuesday	[19, 25, 38, 41, 47, 48, 30]
2017/11/6	Monday	[5, 6, 10, 16, 34, 40, 8]
2017/11/5	Sunday	[16, 18, 32, 38, 39, 46, 49]
2017/11/4	Saturday	[1, 14, 27, 30, 38, 44, 33]
2017/11/3	Friday	[2, 9, 29, 33, 39, 42, 44]
2017/11/2	Thursday	[31, 35, 37, 39, 45, 46, 49]
2017/11/1	Wednesday	[3, 11, 14, 24, 30, 48, 38]
2017/10/31	Tuesday	[11, 21, 24, 28, 41, 46, 15]
2017/10/30	Monday	[3, 17, 26, 33, 37, 45, 47]
2017/10/29	Sunday	[5, 14, 25, 29, 43, 49, 46]
2017/10/28	Saturday	[3, 5, 13, 16, 45, 48, 27]
2017/10/27	Friday	[14, 15, 23, 24, 31, 49, 6]
2017/10/26	Thursday	[2, 3, 18, 25, 44, 47, 12]
2017/10/25	Wednesday	[3, 10, 12, 28, 42, 49, 32]
2017/10/24	Tuesday	[1, 12, 26, 29, 33, 43, 9]
2017/10/23	Monday	[2, 8, 20, 22, 26, 28, 25]
2017/10/22	Sunday	[4, 6, 9, 11, 29, 37, 22]
2017/10/21	Saturday	[26, 31, 38, 43, 46, 47, 2]
2017/10/20	Friday	[2, 16, 17, 26, 28, 44, 14]
2017/10/19	Thursday	[2, 4, 6, 11, 13, 19, 17]
2017/10/18	Wednesday	[14, 17, 20, 25, 32, 46, 43]
2017/10/17	Tuesday	[6, 12, 14, 29, 43, 49, 2]
2017/10/16	Monday	[3, 12, 14, 28, 31, 44, 17]
2017/10/15	Sunday	[11, 13, 20, 26, 27, 41, 1]
2017/10/14	Saturday	[1, 4, 14, 26, 42, 47, 28]
2017/10/13	Friday	[5, 15, 23, 40, 41, 48, 25]
2017/10/12	Thursday	[3, 8, 22, 36, 45, 46, 20]
2017/10/11	Wednesday	[2, 11, 18, 31, 39, 47, 27]
2017/10/10	Tuesday	[2, 5, 13, 22, 24, 33, 46]
2017/10/9	Monday	[9, 20, 26, 37, 41, 43, 49]
2017/10/8	Sunday	[6, 17, 24, 27, 31, 39, 41]
2017/10/7	Saturday	[4, 6, 13, 25, 48, 49, 15]
2017/10/6	Friday	[12, 13, 18, 23, 41, 45, 27]
2017/10/5	Thursday	[11, 12, 15, 17, 18, 20, 31]
2017/10/4	Wednesday	[3, 8, 16, 21, 27, 39, 32]
2017/10/3	Tuesday	[6, 17, 28, 30, 39, 43, 3]
2017/10/2	Monday	[1, 7, 15, 21, 29, 33, 5]
2017/10/1	Sunday	[5, 8, 11, 21, 38, 44, 42]
2017/9/30	Saturday	[12, 14, 26, 42, 44, 48, 16]
2017/9/29	Friday	[2, 15, 19, 23, 28, 35, 9]
2017/9/28	Thursday	[16, 20, 37, 40, 41, 44, 25]
